Time,SecSinceStart,redTime,latitude,longitude,speed,altitude,Avg_x,Avg_y,Avg_z
2015-12-23 00:00:55,55.4471828937531,55,51.910395906,-1.147768199,41.2920009612,41.2920009612,-6.81122424607843e-002,-0.977865630529412,0.168653450754902
2015-12-23 00:00:56,56.4471828937531,56,51.910494771,-1.147699803,43.451998902,43.451998902,-9.02530445588235e-002,-0.967189265205883,0.148156558764706
2015-12-23 00:00:57,57.4471828937531,57,51.910590241,-1.147616319,42.083998488,42.083998488,-8.27273200294117e-002,-1.00025865144118,0.123310463117647
2015-12-23 00:00:58,58.4471828937531,58,51.910687806,-1.147533758,42.8040012348,42.8040012348,-8.19218953627451e-002,-0.977192149450981,0.139117072607843
2015-12-23 00:00:59,59.4471828937531,59,51.910781558,-1.147445831,43.1639991756,43.1639991756,-8.31246469313725e-002,-0.995545031941176,0.160950006235294
2015-12-23 00:01:00,60.4471819400787,60,51.91088059,-1.147362515,44.1360008244,44.1360008244,-8.26414519215686e-002,-0.971170313205883,0.171237721176471
2015-12-23 00:01:01,61.4471809864044,61,51.910979748,-1.147268219,45,45,-7.21694347352941e-002,-0.97137540927451,0.175061244607843
2015-12-23 00:01:02,62.4471828937531,62,51.911077397,-1.147178197,45,45,-7.92158537352941e-002,-0.984578001735294,0.172498665578431
2015-12-23 00:01:03,63.4471819400787,63,51.911184099,-1.147060348,47.8800006876,47.8800006876,-8.49132164215686e-002,-0.977461422186275,0.147721533656863
2015-12-23 00:01:04,64.4471828937531,64,51.911284472,-1.146939145,46.5120002736,46.5120002736,-7.79471303823529e-002,-0.993520848833333,8.91849293333334e-002
2015-12-23 00:01:05,65.4471819400787,65,51.911387527,-1.146839568,45,45,-7.43942260392157e-002,-0.991648804911764,9.71302705588236e-002
2015-12-23 00:01:06,66.4471828937531,66,51.911486979,-1.146742925,44.316001512,44.316001512,-6.69009638823529e-002,-0.976548587568627,0.145883298382353
2015-12-23 00:01:07,67.4471819400787,67,51.911583538,-1.146647371,44.316001512,44.316001512,-8.60099044215687e-002,-0.981610466490196,0.156636705647059
2015-12-23 00:01:08,68.4471819400787,68,51.911680182,-1.146554835,44.4959987652,44.4959987652,-5.72734159705883e-002,-0.976549634705882,0.172558204784314
2015-12-23 00:01:09,69.4471819400787,69,51.911783153,-1.146464814,45.6120002736,45.6120002736,-6.65431346796117e-002,-0.978778728,0.163945022145631
2015-12-23 00:01:10,70.4471828937531,70,51.911898069,-1.146369847,47.1240005508,47.1240005508,-6.3446044872549e-002,-0.982400183558823,0.164911756362745
2015-12-23 00:01:11,71.4471828937531,71,51.911998107,-1.146276053,46.548001098,46.548001098,-6.01381787843137e-002,-0.9812957165,0.164965760490196
