timestamp,x,y,z
1450096140.201348,-0.016372681,-1.023834229,0.270034790
1450096140.211138,0.071105957,-0.977752686,0.100006104
1450096140.220929,0.089233398,-1.018203735,-0.048294067
1450096140.230742,0.026184082,-0.966796875,0.031478882
1450096140.240520,-0.077941895,-0.934738159,0.218048096
1450096140.250338,-0.159744263,-0.897445679,0.178924561
1450096140.260111,-0.162338257,-1.004379272,0.144531250
1450096140.269933,-0.080062866,-0.902526855,0.061965942
1450096140.279705,0.052825928,-1.059219360,0.128845215
1450096140.289526,0.128921509,-1.076644897,0.103210449
1450096140.299298,0.128082275,-1.014572144,0.076919556
1450096140.309119,0.057037354,-0.952270508,0.085113525
1450096140.318889,-0.042297363,-0.962173462,0.110305786
1450096140.328714,-0.081756592,-0.884918213,0.068634033
1450096140.338509,-0.034622192,-1.069229126,0.104339600
1450096140.348312,0.042724609,-1.031951904,0.158386230
1450096140.358091,0.135818481,-1.144546509,0.180374146
1450096140.367906,0.133331299,-0.846481323,0.081680298
1450096140.377685,0.105209351,-0.954406738,0.009338379
1450096140.387499,0.002807617,-0.902770996,0.024276733
1450096140.397273,-0.105560303,-1.057159424,0.173339844
1450096140.407094,-0.189880371,-1.018951416,0.252243042
1450096140.416893,-0.159774780,-1.006851196,0.095169067
1450096140.426693,-0.036300659,-0.929061890,-0.064468384
1450096140.436491,0.161926270,-0.987991333,0.027481079
1450096140.446289,0.304275513,-0.930175781,0.195709229
1450096140.456084,0.348754883,-1.042098999,0.241180420
1450096140.465862,0.231521606,-0.946166992,0.137771606
1450096140.475675,0.078430176,-0.977752686,-0.013153076
1450096140.485475,-0.066360474,-1.034286499,-0.027267456
1450096140.495270,-0.132888794,-1.047851562,0.109436035
1450096140.505069,-0.047286987,-1.036834717,0.282348633
1450096140.514866,0.148696899,-1.019012451,0.200500488
1450096140.524662,0.324630737,-0.976242065,0.072097778
1450096140.534459,0.404586792,-0.956634521,0.013916016
1450096140.544258,0.290115356,-0.943557739,0.026977539
1450096140.554054,0.089309692,-1.123565674,0.050445557
1450096140.563851,-0.154342651,-1.019393921,0.145538330
1450096140.573647,-0.264648438,-1.084136963,0.194839478
1450096140.583446,-0.230895996,-0.946701050,0.163452148
1450096140.593236,-0.020538330,-1.113784790,0.025329590
1450096140.603040,0.132141113,-0.999633789,0.031951904
1450096140.612837,0.242584229,-1.084396362,0.109268188
1450096140.622635,0.212097168,-0.997756958,0.170715332
1450096140.632429,0.116195679,-1.045349121,0.111053467
1450096140.642221,-0.014007568,-0.971740723,0.048538208
1450096140.652025,-0.084655762,-0.953094482,0.026596069
1450096140.661824,-0.063659668,-1.041931152,0.083236694
1450096140.671620,0.045349121,-1.011322021,0.146057129
1450096140.681417,0.178436279,-1.047332764,0.179504395
1450096140.691215,0.274353027,-1.010757446,0.139648438
1450096140.700999,0.267242432,-0.934234619,0.083129883
1450096140.710808,0.186981201,-0.884979248,-0.018096924
1450096140.720592,0.054473877,-0.883926392,-0.005035400
1450096140.730405,-0.045730591,-0.958206177,0.056472778
1450096140.740179,-0.066757202,-1.052215576,0.173965454
1450096140.750002,-0.015838623,-0.948028564,0.102813721
1450096140.759777,0.111984253,-1.039581299,0.046875000
1450096140.769573,0.273178101,-1.049118042,0.045989990
1450096140.779369,0.372146606,-1.119842529,0.227645874
1450096140.789191,0.361877441,-0.919067383,0.210052490
1450096140.798989,0.288696289,-0.999664307,0.153732300
1450096140.808787,0.173660278,-0.940551758,0.003356934
1450096140.818568,0.062271118,-1.076278687,-0.000701904
1450096140.828382,-0.064208984,-0.926635742,0.114791870
1450096140.838163,-0.099578857,-1.028350830,0.142471313
1450096140.847976,-0.017608643,-1.011611938,0.065307617
1450096140.857757,0.123184204,-0.949874878,0.014495850
1450096140.867573,0.299896240,-1.012496948,0.072448730
1450096140.877347,0.371398926,-0.997955322,0.191131592
1450096140.887170,0.352981567,-0.991424561,0.175231934
1450096140.896953,0.218154907,-1.002960205,0.079330444
1450096140.906760,0.055023193,-0.948654175,-0.049652100
1450096140.916559,-0.069000244,-0.961441040,-0.040267944
1450096140.926358,-0.021881104,-1.029098511,0.140335083
1450096140.936155,0.125823975,-1.060775757,0.254165649
1450096140.945946,0.325012207,-0.962753296,0.120651245
1450096140.955749,0.475357056,-1.043746948,-0.062759399
